module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,23.03.2017 17:27:43,445611,3.14,MPAQSDEVDESK01,MPAQSSNSEXEC2
Appointment,74,23.03.2017 17:28:23,445611,3.14,MPAQSEXECDESK01,MPAQSSNSEXEC2
Basics,30,23.03.2017 17:34:28,445611,3.14,MPAQSEXECDESK02,MPAQSSNSEXEC2
Bed management,126,23.03.2017 17:34:28,445611,3.14,MPAQSEXECDESK02,MPAQSSNSEXEC2
Bed reservation,132,23.03.2017 17:34:28,445611,3.14,MPAQSEXECDESK02,MPAQSSNSEXEC2
CDR,545,23.03.2017 17:27:43,445611,3.14,MPAQSDEVDESK01,MPAQSSNSEXEC2
Customizing Tools,37,23.03.2017 17:28:21,445611,3.14,MPAQSDEVDESK02,MPAQSSNSEXEC2
Customizing Transport,540,23.03.2017 17:27:43,445611,3.14,MPAQSDEVDESK01,MPAQSSNSEXEC2
Diagnoses Procedure,156,23.03.2017 17:28:23,445611,3.14,MPAQSEXECDESK01,MPAQSSNSEXEC2
Document,502,23.03.2017 17:27:43,445611,3.14,MPAQSDEVDESK01,MPAQSSNSEXEC2
External System Integration,522,23.03.2017 17:27:43,445611,3.14,MPAQSDEVDESK01,MPAQSSNSEXEC2
HL7,55,23.03.2017 17:28:21,445611,3.14,MPAQSDEVDESK02,MPAQSSNSEXEC2
Label and Formular Printing,64,23.03.2017 17:28:21,445611,3.14,MPAQSDEVDESK02,MPAQSSNSEXEC2
Menu ordering,164,23.03.2017 17:34:28,445611,3.14,MPAQSEXECDESK02,MPAQSSNSEXEC2
Order,277,23.03.2017 17:34:28,445611,3.14,MPAQSEXECDESK02,MPAQSSNSEXEC2
Patient Administration,250,23.03.2017 17:28:23,445611,3.14,MPAQSEXECDESK01,MPAQSSNSEXEC2
Reporting,533,23.03.2017 17:27:43,445611,3.14,MPAQSDEVDESK01,MPAQSSNSEXEC2
Services,222,23.03.2017 17:31:37,445611,3.14,MPAQSDEVDESK03,MPAQSSNSEXEC2
Session Handling,123,23.03.2017 17:28:21,445611,3.14,MPAQSDEVDESK02,MPAQSSNSEXEC2
Surgery Planning and Documentation,273,23.03.2017 17:31:37,445611,3.14,MPAQSDEVDESK03,MPAQSSNSEXEC2
Workflow,407,23.03.2017 17:34:28,445611,3.14,MPAQSEXECDESK02,MPAQSSNSEXEC2
Wound Management,211,23.03.2017 17:28:21,445611,3.14,MPAQSDEVDESK02,MPAQSSNSEXEC2
