module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,22,01.04.2017 14:43:47,445887,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
Appointment,74,01.04.2017 14:35:00,445887,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Basics,32,01.04.2017 14:43:54,445887,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Bed management,128,01.04.2017 14:43:54,445887,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Bed reservation,134,01.04.2017 14:43:54,445887,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
CDR,262,01.04.2017 14:35:00,445887,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Customizing Tools,37,01.04.2017 14:42:54,445887,HEAD,MPAQSDEVDESK02,MPAQSSNSEXEC3
Customizing Transport,257,01.04.2017 14:35:00,445887,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Diagnoses Procedure,156,01.04.2017 14:35:00,445887,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Document,281,01.04.2017 14:43:47,445887,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
External System Integration,281,01.04.2017 14:43:47,445887,HEAD,MPAQSEXECDESK02,MPAQSSNSEXEC3
HL7,55,01.04.2017 14:42:54,445887,HEAD,MPAQSDEVDESK02,MPAQSSNSEXEC3
Label and Formular Printing,64,01.04.2017 14:42:54,445887,HEAD,MPAQSDEVDESK02,MPAQSSNSEXEC3
Menu ordering,166,01.04.2017 14:43:54,445887,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Order,279,01.04.2017 14:43:54,445887,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Patient Administration,250,01.04.2017 14:35:00,445887,HEAD,MPAQSEXECDESK01,MPAQSSNSEXEC3
Reporting,288,01.04.2017 14:33:54,445887,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Services,222,01.04.2017 14:33:54,445887,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Session Handling,123,01.04.2017 14:42:54,445887,HEAD,MPAQSDEVDESK02,MPAQSSNSEXEC3
Surgery Planning and Documentation,273,01.04.2017 14:33:54,445887,HEAD,MPAQSDEVDESK01,MPAQSSNSEXEC3
Workflow,409,01.04.2017 14:43:54,445887,HEAD,MPAQSDEVDESK03,MPAQSSNSEXEC3
Wound Management,211,01.04.2017 14:42:54,445887,HEAD,MPAQSDEVDESK02,MPAQSSNSEXEC3
