module_Name,module_nrTestsStarted,module_startTimestamp,Patch,Release,Client,Server
Admitting doctor,291,18.03.2017 07:42:37,445182,3.14,MPAQSDEVDESK01,MPAQSSNSDEV01
Appointment,193,18.03.2017 08:00:04,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
Basics,29,18.03.2017 07:42:02,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
Bed management,125,18.03.2017 07:42:02,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
Bed reservation,131,18.03.2017 07:42:02,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
CDR,517,18.03.2017 07:40:43,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
Customizing Tools,37,18.03.2017 07:42:16,445182,3.14,MPAQSDEVDESK03,MPAQSSNSDEV01
Customizing Transport,512,18.03.2017 07:40:43,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
Diagnoses Procedure,250,18.03.2017 08:00:04,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
Document,505,18.03.2017 07:40:43,445182,3.14,MPAQSEXECDESK01,MPAQSSNSDEV01
External System Integration,311,18.03.2017 07:42:37,445182,3.14,MPAQSDEVDESK01,MPAQSSNSDEV01
HL7,55,18.03.2017 07:42:16,445182,3.14,MPAQSDEVDESK03,MPAQSSNSDEV01
Label and Formular Printing,64,18.03.2017 07:42:16,445182,3.14,MPAQSDEVDESK03,MPAQSSNSDEV01
Menu ordering,163,18.03.2017 07:42:02,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
Order,276,18.03.2017 07:42:02,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
Patient Administration,119,18.03.2017 08:00:04,445182,3.14,MPAQSDEVDESK02,MPAQSSNSDEV01
Reporting,322,18.03.2017 07:42:37,445182,3.14,MPAQSDEVDESK01,MPAQSSNSDEV01
Services,218,18.03.2017 07:42:37,445182,3.14,MPAQSDEVDESK01,MPAQSSNSDEV01
Session Handling,123,18.03.2017 07:42:16,445182,3.14,MPAQSDEVDESK03,MPAQSSNSDEV01
Surgery Planning and Documentation,269,18.03.2017 07:42:37,445182,3.14,MPAQSDEVDESK01,MPAQSSNSDEV01
Workflow,406,18.03.2017 07:42:02,445182,3.14,MPAQSEXECDESK02,MPAQSSNSDEV01
Wound Management,211,18.03.2017 07:42:16,445182,3.14,MPAQSDEVDESK03,MPAQSSNSDEV01
